"","V162034a","V161006","V161086","V161087","V162255","V161019","V162146","V161235","V161126","V161158x","V161176","V161196","V161215","V161221","V161231","V161243","V161008","V161195","V161370","V161393","V161451","V161373","V161376","V161385","V161389","V161245","V161309","V161310a","V161310b","V161181","V161184","V161201","V161178"
"11","-6. Unit nonresponse, no Post-Election interview","-1. Inap, 2,-8,-9 in V161005",0,50,"-6. No post-election interview","2. Republican party","-6. No post-election interview","2. Worse","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","5. Independent-Republican","3. A moderate amount","3. Neither favor nor oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","1. One day","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",6,4,4,4
"12","-6. Unit nonresponse, no Post-Election interview","1. Barack Obama",85,0,"-6. No post-election interview","1. Democratic party","-6. No post-election interview","3. About the same","2. Liberal","3. Independent-Democrat","1. A great deal","2. Oppose","2. Most of the time","1. Has probably been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","1. Selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",3,2,1,99
"13","3. Gary Johnson","-1. Inap, 2,-8,-9 in V161005",40,30,"2. Not a Muslim","4. None or 'independent'","1. Favor","1. Better","4. Moderate, middle of the road","5. Independent-Republican","1. A great deal","2. Oppose","4. Some of the time","2. Probably hasn't been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","1. Yes","0. Not selected","1. Selected",2,1,2,4
"14","2. Donald Trump","1. Barack Obama",0,85,"1. Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","2. Worse","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Not very strong Democract","4. A little","1. Favor","5. Never","1. Has probably been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","1. Selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","4. A few times a year","2. No","1. Selected","0. Not selected",99,6,5,3
"15","1. Hillary Clinton","1. Barack Obama",85,0,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","2. Liberal","1. Strong Democrat","3. A moderate amount","2. Oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Every week","2. No","1. Selected","0. Not selected",3,2,2,5
"16","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","-1. Inap, 2,-8,-9 in V161005",50,60,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","2. Worse","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Strong Democrat","1. A great deal","2. Oppose","2. Most of the time","1. Has probably been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","0. None","1. Should be sent back where they came from","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363d","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",4,1,1,7
"17","1. Hillary Clinton","1. Barack Obama",85,0,"2. Not a Muslim","1. Democratic party","1. Favor","1. Better","2. Liberal","1. Strong Democrat","3. A moderate amount","2. Oppose","2. Most of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","7. Seven days","2. Should be allowed to live and work in the U.S.","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","1. Selected","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 2,-8,-9 in V161244","1. Yes","1. Selected","0. Not selected",4,3,2,5
"18","2. Donald Trump","2. Mitt Romney",40,100,"1. Muslim","2. Republican party","1. Favor","2. Worse","6. Conservative","7. Strong Republican","5. Not at all","1. Favor","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","6. Six days","1. Should be sent back where they came from","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",4,5,2,2
"19","1. Hillary Clinton","1. Barack Obama",85,0,"2. Not a Muslim","1. Democratic party","1. Favor","1. Better","3. Slightly liberal","1. Strong Democrat","4. A little","2. Oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","1. Selected","1. Selected","4. A few times a year","2. No","1. Selected","0. Not selected",4,3,2,6
"20","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","1. Barack Obama",15,15,"1. Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","3. About the same","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","6. Not very strong Republican","5. Not at all","2. Oppose","4. Some of the time","1. Has probably been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","2. Almost every week","2. No","1. Selected","0. Not selected",6,4,2,4
"21","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","2. Mitt Romney",0,85,"1. Muslim","1. Democratic party","2. Oppose","-8. Don't know (FTF only)","5. Slightly conservative","6. Not very strong Republican","1. A great deal","3. Neither favor nor oppose","4. Some of the time","2. Probably hasn't been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","4. Four days","1. Should be sent back where they came from","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","2. Almost every week","2. No","1. Selected","0. Not selected",99,1,1,4
"22","2. Donald Trump","2. Mitt Romney",10,90,"2. Not a Muslim","2. Republican party","1. Favor","2. Worse","3. Slightly liberal","6. Not very strong Republican","1. A great deal","1. Favor","3. About half the time","2. Probably hasn't been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","1. Selected","1. Selected","1. Selected","1. Selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",3,6,2,4
"23","1. Hillary Clinton","-8. Don't know (FTF only)",60,0,"2. Not a Muslim","2. Republican party","1. Favor","3. About the same","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","5. Independent-Republican","3. A moderate amount","2. Oppose","4. Some of the time","1. Has probably been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","2. Two days","2. Should be allowed to live and work in the U.S.","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363d","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","4. A few times a year","2. No","1. Selected","0. Not selected",99,2,1,99
"24","2. Donald Trump","1. Barack Obama",30,60,"2. Not a Muslim","1. Democratic party","1. Favor","2. Worse","6. Conservative","5. Independent-Republican","3. A moderate amount","2. Oppose","4. Some of the time","1. Has probably been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","1. Every week","2. No","1. Selected","0. Not selected",99,5,2,4
"25","2. Donald Trump","2. Mitt Romney",0,60,"1. Muslim","1. Democratic party","1. Favor","2. Worse","7. Extremely conservative","5. Independent-Republican","1. A great deal","1. Favor","4. Some of the time","2. Probably hasn't been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","1. Selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","1. Selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",6,6,4,1
"26","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","-1. Inap, 2,-8,-9 in V161005",0,70,"1. Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","2. Worse","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","5. Independent-Republican","3. A moderate amount","1. Favor","5. Never","-8. Don't know (FTF only)","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","5. Five days","2. Should be allowed to live and work in the U.S.","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363d","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","5. Never","2. No","0. Not selected","0. Not selected",7,99,4,1
"27","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","-1. Inap, 2,-8,-9 in V161005",15,40,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","3. About the same","2. Liberal","4. Independent","3. A moderate amount","2. Oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","2. Almost every week","2. No","1. Selected","0. Not selected",2,2,3,5
"28","-9. Refused","-1. Inap, 2,-8,-9 in V161005",40,70,"1. Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","3. About the same","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","4. Independent","1. A great deal","3. Neither favor nor oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","1. Should be sent back where they came from","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","2. Almost every week","2. No","1. Selected","0. Not selected",5,3,3,4
"29","1. Hillary Clinton","1. Barack Obama",85,0,"2. Not a Muslim","1. Democratic party","1. Favor","1. Better","2. Liberal","3. Independent-Democrat","1. A great deal","2. Oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","1. Selected","1. Selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",2,1,1,6
"30","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","2. Mitt Romney",40,40,"-8. Don't know","1. Democratic party","1. Favor","3. About the same","4. Moderate, middle of the road","4. Independent","1. A great deal","1. Favor","5. Never","1. Has probably been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Every week","2. No","1. Selected","0. Not selected",4,6,99,3
"31","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","1. Barack Obama",40,60,"2. Not a Muslim","-8. Don't know (FTF only)/ WEB: other specify - specified as: Don't know","1. Favor","1. Better","2. Liberal","2. Not very strong Democract","5. Not at all","3. Neither favor nor oppose","4. Some of the time","2. Probably hasn't been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","6. Six days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","4. A few times a year","2. No","1. Selected","0. Not selected",4,4,99,5
"32","-6. Unit nonresponse, no Post-Election interview","2. Mitt Romney",0,85,"-6. No post-election interview","2. Republican party","-6. No post-election interview","2. Worse","6. Conservative","7. Strong Republican","1. A great deal","1. Favor","5. Never","2. Probably hasn't been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","2. Should be allowed to live and work in the U.S.","1. Selected","0. Not selected","-1. INAP, 0,-9 in V161363d","1. Selected","0. Not selected","0. Not selected","0. Not selected","1. Every week","2. No","1. Selected","0. Not selected",6,7,6,1
"33","2. Donald Trump","2. Mitt Romney",0,100,"2. Not a Muslim","2. Republican party","1. Favor","2. Worse","6. Conservative","7. Strong Republican","5. Not at all","1. Favor","4. Some of the time","-8. Don't know (FTF only)","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","1. The Bible is the actual word of God and is to be taken literally, word for word.","4. Four days","1. Should be sent back where they came from","1. Selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","1. Selected","0. Not selected","0. Not selected","1. Every week","2. No","1. Selected","0. Not selected",6,5,7,4
"34","2. Donald Trump","2. Mitt Romney",0,100,"1. Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","2. Oppose","2. Worse","7. Extremely conservative","5. Independent-Republican","1. A great deal","1. Favor","5. Never","2. Probably hasn't been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","1. Should be sent back where they came from","1. Selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","1. Selected","0. Not selected","0. Not selected","2. Almost every week","2. No","1. Selected","0. Not selected",7,4,7,1
"35","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","1. Barack Obama",40,40,"-8. Don't know","4. None or 'independent'","3. Neither favor nor oppose","3. About the same","4. Moderate, middle of the road","6. Not very strong Republican","3. A moderate amount","1. Favor","4. Some of the time","1. Has probably been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","1. The Bible is the actual word of God and is to be taken literally, word for word.","5. Five days","2. Should be allowed to live and work in the U.S.","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363d","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","1. Every week","2. No","1. Selected","0. Not selected",99,4,1,99
"36","1. Hillary Clinton","1. Barack Obama",70,15,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","2. Liberal","2. Not very strong Democract","3. A moderate amount","2. Oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","1. Selected","1. Selected","0. Not selected","0. Not selected","4. A few times a year","2. No","1. Selected","0. Not selected",3,2,5,4
"37","-6. Unit nonresponse, no Post-Election interview","-1. Inap, 2,-8,-9 in V161005",40,60,"-6. No post-election interview","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-6. No post-election interview","3. About the same","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Independent-Democrat","3. A moderate amount","1. Favor","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","0. Not selected","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",3,4,1,4
"38","2. Donald Trump","2. Mitt Romney",0,85,"1. Muslim","2. Republican party","1. Favor","2. Worse","4. Moderate, middle of the road","7. Strong Republican","3. A moderate amount","3. Neither favor nor oppose","4. Some of the time","1. Has probably been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Every week","2. No","1. Selected","0. Not selected",7,7,5,4
